Nama Perenang:,Sheva
Gaya Renang:,Dada
Time:,140526-1305
TimeStamp(s),Force(Kg),Roll(Deg),Pitch(Deg)
383.70,24.49,-19.27,21.74
383.80,24.51,-19.09,12.90
383.89,24.55,-18.75,3.34
383.99,24.62,-18.27,-6.31
384.10,24.74,-17.64,-15.46
384.20,24.92,-16.89,-23.59
384.30,25.19,-16.02,-30.26
384.40,25.54,-15.03,-35.14
384.50,25.94,-13.95,-38.04
384.60,26.37,-12.77,-38.87
384.70,26.74,-11.52,-37.70
384.80,26.99,-10.19,-34.68
384.90,27.04,-8.82,-30.07
385.00,26.80,-7.39,-24.20
385.10,26.25,-5.94,-17.41
385.20,25.37,-4.46,-10.10
385.30,24.22,-2.97,-2.64
385.40,22.89,-1.48,4.61
385.50,21.53,-0.01,11.35
385.60,20.29,1.45,17.30
385.70,19.38,2.87,22.29
385.80,18.96,4.25,26.16
385.90,19.16,5.58,28.85
386.00,20.05,6.85,30.35
386.10,21.64,8.05,30.71
386.20,23.83,9.18,30.00
386.30,26.47,10.22,28.35
386.40,29.29,11.17,25.92
386.50,32.03,12.03,22.86
386.60,34.38,12.79,19.34
386.70,36.04,13.44,15.53
386.80,36.80,13.98,11.59
386.90,36.48,14.41,7.65
387.00,35.04,14.72,3.85
387.10,32.52,14.92,0.29
387.20,29.10,15.00,-2.95
387.30,25.04,14.96,-5.81
387.40,20.66,14.81,-8.24
387.50,16.36,14.54,-10.23
387.60,12.51,14.17,-11.78
387.70,9.46,13.69,-12.89
387.80,7.52,13.12,-13.59
387.90,6.87,12.45,-13.91
388.00,7.62,11.69,-13.90
388.10,9.74,10.86,-13.60
388.20,13.10,9.96,-13.05
388.30,17.47,9.01,-12.31
388.40,22.54,8.01,-11.42
388.50,27.96,6.97,-10.43
388.60,33.32,5.92,-9.37
388.70,38.27,4.86,-8.29
388.80,42.47,3.80,-7.21
388.90,45.63,2.76,-6.16
389.00,47.57,1.75,-5.16
389.10,48.16,0.78,-4.23
389.20,47.40,-0.13,-3.39
389.30,45.34,-0.97,-2.63
389.40,42.14,-1.74,-1.97
389.50,37.99,-2.43,-1.41
389.60,33.16,-3.02,-0.94
389.70,27.92,-3.51,-0.55
389.80,22.57,-3.90,-0.26
389.90,17.38,-4.18,-0.04
390.00,12.61,-4.36,0.11
390.10,8.47,-4.44,0.20
390.20,5.14,-4.42,0.24
390.30,2.72,-4.32,0.25
390.40,1.28,-4.13,0.22
390.50,0.84,-3.87,0.18
390.60,1.36,-3.55,0.13
390.70,2.76,-3.19,0.08
390.80,4.94,-2.79,0.03
390.90,7.76,-2.38,0.01
391.00,11.08,-1.96,0.00
391.10,14.73,-1.56,0.02
391.20,18.56,-1.17,0.08
391.30,22.41,-0.82,0.17
391.40,26.17,-0.50,0.30
391.50,29.70,-0.23,0.48
391.60,32.91,-0.02,0.70
391.70,35.71,0.14,0.96
391.80,38.06,0.26,1.26
391.90,39.92,0.32,1.60
392.00,41.27,0.34,1.98
392.10,42.12,0.33,2.40
392.20,42.48,0.29,2.85
392.30,42.40,0.24,3.31
392.40,41.92,0.18,3.80
392.50,41.09,0.12,4.29
392.60,39.96,0.07,4.78
392.70,38.60,0.03,5.27
392.80,37.06,0.01,5.73
392.90,35.40,0.00,6.16
393.00,33.68,0.00,6.55
393.10,31.95,0.01,6.88
393.20,30.25,0.02,7.14
393.30,28.62,0.02,7.32
393.40,27.10,0.00,7.40
393.50,25.70,-0.04,7.36
393.60,24.46,-0.12,7.20
393.70,23.38,-0.24,6.90
393.80,22.46,-0.39,6.44
393.90,21.73,-0.56,5.82
394.00,21.16,-0.76,5.02
394.10,20.76,-0.96,4.04
394.20,20.51,-1.15,2.86
394.30,20.40,-1.30,1.49
394.40,20.41,-1.38,-0.09
394.50,20.54,-1.36,-1.85
394.60,20.75,-1.24,-3.80
394.70,21.03,-0.99,-5.92
394.80,21.37,-0.61,-8.19
394.90,21.74,-0.08,-10.58
395.00,22.13,0.56,-13.07
395.10,22.52,1.30,-15.62
395.20,22.91,2.09,-18.17
